Theta,Alpha,Low_beta,High_beta,Gamma,Class
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
8.896433,5.301145,1.687223,1.120889,7.467427,lefthand
30.236884,24.108063,23.420769,9.96945,10.078567,lefthand
11.334504,26.088589,23.318642,13.175731,9.403975,lefthand
15.455992,16.190648,7.420268,2.074289,6.821643,lefthand
